Brand,Model,Year,Category,Displacement (ccm),Power (hp),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Torque (Nm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder
sym,jet eurox 100,2011,Scooter,101.3,,6.3,97.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
sym,jet eurox 50,2010,Scooter,49.4,,6.3,94.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
sym,jet eurox 50,2011,Scooter,49.4,,6.3,94.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
sym,jet red devil 50,2008,Scooter,49.1,,6.0,98.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
sym,jet sportx 50,2014,Scooter,49.4,3.5,6.3,98.0,,4.2,Air,Belt,Unknown, two-stroke,Single cylinder
sym,jet sportx 50 factory,2010,Scooter,49.4,,6.6,98.0,,,Air,Unknown,Unknown, two-stroke,Single cylinder
sym,jet sportx 50 factory,2011,Scooter,49.4,,6.3,98.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
sym,jet sportx 50 r,2008,Scooter,49.4,,6.6,98.0,,,Unknown,Unknown,Unknown, two-stroke,Single cylinder
sym,jet sportx 50 sr,2008,Scooter,49.4,,6.6,98.0,,,Unknown,Unknown,Unknown, two-stroke,Single cylinder
sym,jet sportx-sr 50,2012,Scooter,49.4,,6.3,98.0,,,Air,Belt,Unknown, two-stroke,Single cylinder
sym,jet v,2012,Scooter,124.6,,5.5,111.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
sym,jet v 125,2014,Scooter,124.6,9.7,5.5,111.0,,9.9,Air,Belt,Automatic, four-stroke,Single cylinder
sym,jet x 125,2021,Scooter,124.6,12.5,7.5,111.0,770.0,11.0,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,jet x 125,2022,Scooter,124.6,12.5,7.5,111.0,770.0,11.0,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,joymax  z 250,2020,Scooter,249.4,21.2,12.0,,747.0,23.5,Air,Belt,Automatic, four-stroke,Single cylinder
sym,joymax 125,2010,Scooter,124.0,,12.0,163.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
sym,joymax 125i,2017,Scooter,124.5,,12.0,168.0,,,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,joymax 125i sport,2017,Scooter,124.5,,12.0,168.0,,,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,joymax 250,2010,Scooter,259.6,,12.0,,,,Air,Belt,Automatic, four-stroke,Single cylinder
sym,joymax 300 abs,2017,Scooter,278.0,,12.0,192.0,,,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,joymax z 300,2020,Scooter,278.0,27.0,12.0,184.0,,27.3,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,joymax z plus 125,2021,Scooter,124.9,14.1,12.0,172.0,770.0,11.3,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 125,2007,Scooter,125.0,,8.5,144.0,,,Unknown,Unknown,Unknown, four-stroke,Single cylinder
sym,joyride 125,2008,Scooter,124.0,,8.5,144.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 125,2012,Scooter,124.6,,7.6,144.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 125,2017,Scooter,124.6,,7.6,156.0,,,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 125,2019,Scooter,124.0,14.1,7.6,153.0,760.0,9.9,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 125 (disk type),2007,Scooter,125.0,,8.5,144.0,,,Unknown,Unknown,Unknown, four-stroke,Single cylinder
sym,joyride 125 evo,2010,Scooter,124.0,,8.0,155.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 125 rv,2011,Scooter,124.0,,7.6,144.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 150,2007,Scooter,150.0,,8.5,144.0,,,Unknown,Unknown,Unknown, four-stroke,Single cylinder
sym,joyride 200,2007,Scooter,200.0,,8.5,144.0,760.0,13.2,Air,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 200,2008,Scooter,171.2,15.5,8.5,144.0,,,Unknown,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 200,2012,Scooter,175.0,,7.6,144.0,,,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 200 rv,2011,Scooter,175.0,,7.6,144.0,,,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 200i evo,2010,Scooter,175.0,,8.0,155.0,,,Liquid,Unknown,Automatic, four-stroke,Single cylinder
sym,joyride 200i evo,2014,Scooter,171.2,14.8,7.6,156.0,,13.2,Air,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 300,2022,Scooter,278.3,25.5,11.5,144.0,770.0,26.0,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,joyride 300 16,2022,Scooter,278.3,25.5,11.5,144.0,778.0,26.0,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,magic 110 rr,2007,Scooter,110.0,,4.0,103.0,,,Unknown,Unknown,Unknown, four-stroke,Single cylinder
sym,magic 110rr,2011,Scooter,109.0,,3.5,103.0,,,Air,Unknown,4-speed, four-stroke,Single cylinder
sym,magic 110rr,2012,Scooter,109.0,,3.5,103.0,,,Air,Chain,4-speed, four-stroke,Single cylinder
sym,mask 125,2019,Scooter,124.6,10.1,5.2,117.0,,,Air,Belt,Unknown, four-stroke,Single cylinder
sym,mask 50,2007,Scooter,50.0,,6.3,94.0,,,Unknown,Unknown,Unknown, two-stroke,Single cylinder
sym,mask 50,2008,Scooter,49.0,,6.3,94.0,,,Air,Belt,Unknown, two-stroke,Single cylinder
sym,mask 50,2022,Scooter,49.0,3.5,5.2,107.0,770.0,,Air,Belt,Automatic, four-stroke,Single cylinder
sym,max 400,2019,Custom / cruiser,399.0,35.0,14.7,229.0,750.0,34.5,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,max 400,2022,Custom / cruiser,399.0,33.5,13.0,,800.0,39.5,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,max 400i,2011,Scooter,399.3,,,210.0,,,Liquid,Unknown,Automatic, four-stroke,Single cylinder
sym,max 400i,2014,Custom / cruiser,399.0,35.0,14.7,229.0,,34.5,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,max 400i abs,2012,Custom / cruiser,399.0,35.0,14.7,224.0,,33.9,Liquid,Unknown,Automatic, four-stroke,Single cylinder
sym,max 400i abs,2020,Scooter,399.0,35.0,14.2,234.0,755.0,36.2,Liquid,Unknown,Automatic, four-stroke,Single cylinder
sym,max 600i abs,2014,Scooter,598.0,,15.0,228.0,,,Liquid,Unknown,Unknown, four-stroke,Single cylinder
sym,max 600i abs,2015,Scooter,565.0,,14.2,238.0,,,Unknown,Belt,Automatic, four-stroke,Single cylinder
sym,max 600i abs,2017,Scooter,565.0,,14.2,238.0,755.0,,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,max 600i abs,2020,Scooter,565.0,44.8,14.2,246.0,755.0,50.0,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,max tl,2020,Scooter,465.0,40.2,12.5,,795.0,42.5,Liquid,Belt,Automatic, four-stroke,Single cylinder
sym,max tl 508,2022,Scooter,508.0,4.4,12.5,,795.0,49.9,Liquid,Belt,Automatic, four-stroke,Twin
sym,megalo 125,2007,Scooter,125.0,,5.5,105.0,,,Unknown,Unknown,Unknown, four-stroke,Single cylinder
sym,megalo 125,2008,Scooter,124.0,,5.0,105.0,,,Air,Belt,Unknown, four-stroke,Single cylinder
sym,metry,2011,Scooter,,,,56.0,,,Unknown,Unknown,Automatic,Electric,Electric
sym,mio 100,2008,Scooter,99.0,,4.8,87.5,,,Air,Belt,Automatic, four-stroke,Single cylinder
sym,mio 100,2010,Scooter,101.0,,4.8,84.5,,,Air,Unknown,Automatic, four-stroke,Single cylinder
sym,mio 100,2011,Scooter,101.0,,4.8,87.5,,,Air,Unknown,Automatic, four-stroke,Single cylinder
sym,mio 100,2014,Scooter,101.0,7.6,4.8,89.0,,7.6,Air,Belt,Automatic, four-stroke,Single cylinder
sym,mio 100 (disk type),2007,Scooter,100.0,,4.8,87.5,,,Unknown,Unknown,Unknown, four-stroke,Single cylinder
sym,mio 100 (drum type),2007,Scooter,100.0,,4.8,87.5,,,Unknown,Unknown,Unknown, four-stroke,Single cylinder
sym,mio 50,2007,Scooter,50.0,,4.8,80.0,,,Unknown,Unknown,Unknown, four-stroke,Single cylinder
sym,mio 50,2008,Scooter,49.0,,4.8,80.0,,,Air,Belt,Unknown, four-stroke,Single cylinder
sym,mio 50,2010,Scooter,49.0,,4.8,84.5,,,Air,Belt,Automatic, four-stroke,Single cylinder
